seqname trgroup start_5prime stop_5prime trlength seqlength trprop start_3prime stop_3prime
dd374ad3-8061-467b-a9f0-c59882edd303 6 1828 2020 192 2031 9.45 -12 -204
dd414202-d38e-44af-b70c-a5c7b97032eb 0 0 0 0 225 0 0 0
dd4388b1-448a-41c1-85fb-4f57bc39fb3b 0 0 0 0 6235 0 0 0
dd4bed6c-5510-4226-be0b-9efbd1ec8c70 1 66 1240 1174 1549 75.79 -310 -1484
dd4bed6c-5510-4226-be0b-9efbd1ec8c70 2 1357 1506 149 1549 9.62 -44 -193
dd4ee2ba-f4f5-41a3-9880-855b48c937f8 1 77 580 503 583 86.28 -4 -507
dd514081-2ef7-40a2-8db0-75d5421447d2 1 2737 3098 361 3139 11.5 -42 -403
dd527099-d3b7-4c02-aad5-7142e6d9a347 0 0 0 0 4425 0 0 0
dd54b259-3dc9-4593-8dc4-36e79f189f30 0 0 0 0 601 0 0 0
dd581955-9ce1-4a9c-87ac-d9fcf68cccc4 0 0 0 0 853 0 0 0
dd5a8268-a82a-482f-90a2-3cf5dc90aa31 1 31 443 412 447 92.17 -5 -417
dd5ac3d8-8243-42fc-8679-67be685f6f72 0 0 0 0 4146 0 0 0
dd5ef5c8-1ab1-4c63-94d6-ecd0a0ea4142 1 27 481 454 481 94.39 -1 -455
dd616758-bad8-43d8-b114-829172d34996 0 0 0 0 950 0 0 0
dd649891-2de3-4cca-8f58-7a1a2fac6307 1 19 443 424 451 94.01 -9 -433
dd6656ef-4c1e-4984-99c1-87efbdaa139c 1 72 115 43 4138 1.04 -4024 -4067
dd69c03d-c568-4c80-a57e-3f6f1fac50d1 0 0 0 0 919 0 0 0
dd712837-299a-4f10-b911-34a69eaa429a 1 224 446 222 511 43.44 -66 -288
dd73de7b-8802-407e-ad09-1b2066b9911f 1 1602 2062 460 2111 21.79 -50 -510
dd7bdd22-03a3-4e40-8bb6-1cad42c74758 1 113 470 357 560 63.75 -91 -448
dd7c336e-4e0c-4652-8b16-672c5928de34 0 0 0 0 181 0 0 0
dd7ece1c-55e8-46a2-bc80-a779f96bf4ce 0 0 0 0 1650 0 0 0
dd80d5ae-becc-4a70-b528-f66d921284a1 1 161 461 300 498 60.24 -38 -338
dd81b9e0-bc54-4d27-b02b-5b9c33df68a1 0 0 0 0 288 0 0 0
dd8270fa-80fd-4fbc-81c4-736e0b7cad70 1 1296 1514 218 1559 13.98 -46 -264
dd82933b-405f-4f19-92fa-fe0251fcb161 0 0 0 0 690 0 0 0
dd8a999a-0cfb-417d-83a5-988f6676b2b2 1 24 730 706 739 95.53 -10 -716
dd90c434-e530-47ba-9d87-c2db363a0926 1 66 518 452 1718 26.31 -1201 -1653
dd94fcb4-a96d-4f71-afe5-a2e06c79e1f6 0 0 0 0 1070 0 0 0
dd976e36-b9cb-47dd-b2f9-fcd96cef6498 1 54 302 248 354 70.06 -53 -301
